Wall time,Step,Value
1607763603.6295795,0,0.14999999105930328
1607763604.884389,1,0.03999999910593033
1607763606.1481616,2,0.14999999105930328
1607763607.3814006,3,0.12999999523162842
1607763608.6191168,4,0.11999999731779099
1607763609.8704493,5,0.07000000029802322
1607763611.123031,6,0.08999999612569809
1607763612.3641555,7,0.08999999612569809
1607763613.613193,8,0.12999999523162842
1607763614.8542914,9,0.09999999403953552
1607763616.099216,10,0.1599999964237213
1607763617.3655455,11,0.14000000059604645
1607763618.6193686,12,0.20999999344348907
1607763619.901575,13,0.25999999046325684
1607763621.1637185,14,0.22999998927116394
1607763622.4124475,15,0.1599999964237213
1607763623.6557124,16,0.29999998211860657
1607763624.9277003,17,0.26999998092651367
1607763626.1767356,18,0.17000000178813934
1607763627.4331465,19,0.23999999463558197
1607763628.678204,20,0.22999998927116394
1607763629.9591131,21,0.20999999344348907
1607763631.2163026,22,0.25999999046325684
1607763632.4777348,23,0.19999998807907104
1607763633.722457,24,0.17000000178813934
1607763634.9848905,25,0.23999999463558197
1607763636.2505639,26,0.1899999976158142
1607763637.5179846,27,0.26999998092651367
1607763638.7685673,28,0.20999999344348907
1607763640.0290627,29,0.20999999344348907
1607763641.272104,30,0.1599999964237213
1607763642.528731,31,0.14999999105930328
1607763643.781721,32,0.1599999964237213
1607763645.0490081,33,0.26999998092651367
1607763646.3114765,34,0.2800000011920929
1607763647.5855892,35,0.17000000178813934
1607763648.8659778,36,0.23999999463558197
1607763650.1203458,37,0.26999998092651367
1607763651.3635807,38,0.2800000011920929
1607763652.6174257,39,0.26999998092651367
1607763653.856162,40,0.2199999988079071
1607763655.1334028,41,0.1899999976158142
1607763656.3820589,42,0.23999999463558197
1607763657.6371708,43,0.19999998807907104
1607763658.9184444,44,0.25999999046325684
1607763660.178431,45,0.19999998807907104
1607763661.4239507,46,0.22999998927116394
1607763662.6800864,47,0.17000000178813934
1607763663.9159567,48,0.3100000023841858
1607763665.1542122,49,0.26999998092651367
1607763666.3935292,50,0.2800000011920929
1607763667.6416283,51,0.2199999988079071
