Wall time,Step,Value
1608070192.4727304,0,2.327899694442749
1608070193.2760568,1,2.3012795448303223
1608070194.8492918,3,2.3300609588623047
1608070196.4144585,5,2.3068625926971436
1608070197.1972554,6,2.2815372943878174
1608070197.9894333,7,2.3159708976745605
1608070198.7739482,8,2.309366226196289
1608070199.5632327,9,2.2863471508026123
1608070200.356853,10,2.3053221702575684
1608070201.129847,11,2.323453664779663
1608070201.9032986,12,2.3357508182525635
1608070202.6830816,13,2.310166835784912
1608070203.4701352,14,2.318513870239258
1608070204.2604969,15,2.2883665561676025
1608070205.070842,16,2.325138568878174
1608070205.8888388,17,2.312603235244751
1608070206.6594925,18,2.310015916824341
1608070207.4609718,19,2.3089494705200195
1608070208.2493763,20,2.3060824871063232
1608070209.0538,21,2.291912794113159
1608070209.8704689,22,2.30115008354187
1608070210.670495,23,2.309257745742798
1608070211.4686368,24,2.3095757961273193
1608070212.2620227,25,2.30263614654541
1608070213.900716,27,2.293006420135498
1608070216.2846882,30,2.2945713996887207
1608070217.108521,31,2.2891507148742676
1608070217.91392,32,2.301694393157959
1608070218.6986606,33,2.2941949367523193
1608070219.4910324,34,2.2895309925079346
1608070221.0725226,36,2.297240734100342
1608070221.8548963,37,2.296508550643921
1608070222.657711,38,2.3004066944122314
1608070223.4352353,39,2.291476249694824
1608070224.2199447,40,2.2908225059509277
1608070225.8519752,42,2.275041103363037
1608070226.663618,43,2.2951271533966064
1608070227.4640255,44,2.2754478454589844
1608070228.264677,45,2.2823269367218018
1608070229.0766456,46,2.284578323364258
1608070229.866968,47,2.279785394668579
1608070231.4733899,49,2.2825803756713867
1608070232.2777014,50,2.2729294300079346
1608070233.9080346,52,2.272029161453247
1608070234.6973753,53,2.287450075149536
1608070235.4920912,54,2.2677550315856934
1608070236.2937493,55,2.290070056915283
1608070237.117337,56,2.267554521560669
1608070237.9235845,57,2.269746780395508
1608070239.5344856,59,2.251534938812256
1608070240.3281286,60,2.2519874572753906
1608070241.1322908,61,2.2866432666778564
1608070241.9283135,62,2.264071464538574
1608070242.7330768,63,2.2856829166412354
1608070243.5454884,64,2.265824556350708
1608070244.353066,65,2.2574126720428467
1608070245.1631093,66,2.2674639225006104
1608070245.9472857,67,2.2365126609802246
1608070246.750143,68,2.2393975257873535
1608070247.5377,69,2.2229111194610596
1608070249.155879,71,2.2556850910186768
1608070250.0037143,72,2.2764670848846436
1608070250.7928507,73,2.2618567943573
1608070251.5985782,74,2.238823413848877
1608070252.415177,75,2.2284374237060547
1608070253.2356327,76,2.2810769081115723
1608070254.0331323,77,2.290443181991577
1608070254.8146214,78,2.2381651401519775
1608070255.6330276,79,2.175312042236328
1608070257.278344,81,2.2303545475006104
1608070258.0640185,82,2.224999189376831
1608070259.6302123,84,2.1741526126861572
1608070260.42413,85,2.204850912094116
1608070261.2403417,86,2.2112016677856445
1608070262.0419302,87,2.1729509830474854
1608070262.8378894,88,2.2077579498291016
1608070263.6247215,89,2.2527217864990234
1608070265.2320597,91,2.1239712238311768
1608070266.0484033,92,2.16763973236084
1608070266.8359997,93,2.1463074684143066
1608070267.6461303,94,2.192208766937256
1608070268.4464083,95,2.247084379196167
1608070269.243275,96,2.1410367488861084
1608070270.0254006,97,2.172189712524414
1608070271.625036,99,2.227393388748169
1608070272.4320483,100,2.1793935298919678
1608070273.237979,101,2.158128023147583
1608070274.0293617,102,2.1065659523010254
1608070274.8076434,103,2.177412509918213
1608070275.5927358,104,2.1467106342315674
1608070276.405191,105,2.0268280506134033
1608070277.21083,106,1.9300003051757812
1608070278.8495166,108,2.1079654693603516
1608070279.6361306,109,2.1199729442596436
1608070280.4483545,110,2.1754372119903564
1608070281.2522957,111,2.0645198822021484
1608070282.0668201,112,2.028599739074707
1608070282.8807802,113,2.1321935653686523
1608070283.7070613,114,1.892005205154419
1608070284.522167,115,2.0221216678619385
1608070285.312893,116,2.1126766204833984
1608070286.1118817,117,2.184384822845459
1608070286.9062421,118,2.021378993988037
1608070287.7023375,119,2.080345869064331
1608070288.537705,120,1.9194755554199219
