Wall time,Step,Value
1608207939.6394854,0,0.484375
1608207940.6319392,1,0.5625
1608207941.6273699,2,0.546875
1608207942.615103,3,0.59375
1608207943.613822,4,0.5625
1608207944.6224341,5,0.515625
1608207945.6342256,6,0.640625
1608207946.6404736,7,0.421875
1608207947.6398811,8,0.546875
1608207948.6299098,9,0.515625
1608207949.6182594,10,0.546875
1608207950.63268,11,0.515625
1608207951.6176145,12,0.53125
1608207952.606445,13,0.484375
1608207953.5909653,14,0.5
1608207954.5889888,15,0.5
1608207955.5772989,16,0.484375
1608207956.5668485,17,0.546875
1608207957.553588,18,0.421875
1608207958.5369174,19,0.609375
1608207959.5255778,20,0.484375
1608207960.5290015,21,0.59375
1608207961.528716,22,0.5625
1608207962.5380063,23,0.5625
1608207963.526005,24,0.4375
1608207964.5141516,25,0.53125
1608207965.5053773,26,0.46875
1608207966.5060718,27,0.546875
1608207967.50245,28,0.484375
1608207968.4989269,29,0.546875
1608207969.4897063,30,0.625
1608207970.4856484,31,0.640625
1608207971.4879785,32,0.53125
1608207972.4815066,33,0.578125
1608207973.4712386,34,0.578125
1608207974.4609833,35,0.546875
1608207975.4461355,36,0.546875
1608207976.4650402,37,0.65625
1608207977.4543695,38,0.5625
1608207978.4672034,39,0.609375
1608207979.4600554,40,0.59375
1608207980.450153,41,0.609375
1608207981.4422476,42,0.625
1608207982.4486415,43,0.75
1608207983.437148,44,0.734375
1608207984.4352455,45,0.71875
1608207985.435004,46,0.703125
1608207986.4322135,47,0.71875
1608207987.4218457,48,0.78125
1608207988.4190047,49,0.640625
1608207989.4095562,50,0.734375
1608207990.4025898,51,0.765625
1608207991.3979995,52,0.75
1608207992.386041,53,0.75
1608207993.3785524,54,0.8125
1608207994.366925,55,0.734375
1608207995.3532007,56,0.6875
1608207996.344178,57,0.625
1608207997.3431964,58,0.71875
1608207998.3407116,59,0.78125
1608207999.3273287,60,0.71875
1608208000.319294,61,0.671875
1608208001.3169818,62,0.6875
1608208002.3106785,63,0.6875
1608208003.3251455,64,0.671875
1608208004.3288772,65,0.71875
1608208005.326096,66,0.78125
1608208006.3265483,67,0.78125
1608208007.3344593,68,0.703125
1608208008.3384416,69,0.75
1608208009.3700953,70,0.8125
1608208010.3662694,71,0.828125
1608208011.3739054,72,0.75
1608208012.373407,73,0.796875
1608208013.3794975,74,0.78125
1608208014.3998446,75,0.828125
1608208015.3989727,76,0.78125
1608208016.3989558,77,0.765625
1608208017.397828,78,0.78125
1608208018.3990016,79,0.71875
1608208019.405064,80,0.828125
1608208020.40951,81,0.890625
1608208021.4119148,82,0.875
1608208022.410402,83,0.78125
1608208023.4185095,84,0.828125
1608208024.442918,85,0.859375
1608208025.462373,86,0.84375
1608208026.4577708,87,0.828125
1608208027.4503105,88,0.859375
1608208028.4469635,89,0.75
1608208029.4449637,90,0.875
1608208030.437734,91,0.875
1608208031.4373033,92,0.921875
1608208032.4313836,93,0.828125
1608208033.4306922,94,0.859375
1608208034.4293754,95,0.90625
1608208035.4269018,96,0.90625
1608208036.424637,97,0.90625
1608208037.4217174,98,0.84375
1608208038.4298544,99,0.96875
1608208039.4843528,100,0.859375
1608208040.4798954,101,0.875
1608208041.480745,102,0.90625
1608208042.480746,103,0.921875
1608208043.4871686,104,0.859375
1608208044.4917643,105,0.921875
1608208045.494714,106,0.890625
1608208046.4900048,107,0.90625
1608208047.4887164,108,0.9375
1608208048.5250506,109,0.9375
1608208049.5295308,110,0.953125
1608208050.5683663,111,0.953125
1608208051.588965,112,0.890625
1608208052.60893,113,0.921875
1608208053.6407053,114,0.984375
1608208054.6518908,115,0.953125
1608208055.6588206,116,0.921875
1608208056.664874,117,0.96875
1608208057.6761994,118,0.984375
1608208058.6916451,119,0.875
1608208059.699145,120,0.9375
1608208060.7332032,121,0.984375
1608208061.738365,122,0.890625
1608208062.7373264,123,0.890625
1608208063.740975,124,0.921875
1608208064.745254,125,0.953125
1608208065.7419245,126,0.984375
1608208066.7398334,127,0.921875
1608208067.7458422,128,0.984375
1608208068.753007,129,0.984375
1608208069.7527018,130,0.984375
1608208070.7500427,131,0.96875
1608208071.7796063,132,0.9375
1608208072.7933345,133,0.984375
1608208073.7921424,134,0.984375
1608208074.7977667,135,0.90625
1608208075.800555,136,0.96875
1608208076.793252,137,0.953125
1608208077.7923195,138,0.984375
1608208078.793797,139,0.984375
1608208079.7954123,140,0.953125
1608208080.7898839,141,0.90625
1608208081.801935,142,0.984375
1608208082.8271317,143,0.984375
1608208083.8282194,144,0.953125
1608208084.8373628,145,0.984375
1608208085.8408313,146,0.953125
1608208086.835958,147,0.984375
1608208087.8343387,148,0.9375
1608208088.829972,149,0.96875
1608208089.8247235,150,0.984375
1608208090.8194954,151,0.984375
1608208091.8332386,152,0.953125
1608208092.8357215,153,0.984375
1608208093.8392656,154,0.984375
1608208094.843455,155,0.9375
1608208095.8524995,156,0.96875
1608208096.8650525,157,0.953125
1608208097.8757815,158,0.96875
1608208098.887268,159,0.96875
1608208099.8946438,160,0.96875
1608208100.9057157,161,1.0
1608208101.919944,162,0.984375
1608208102.9311697,163,0.96875
1608208103.9421246,164,0.96875
1608208104.9673302,165,1.0
1608208105.9736547,166,0.984375
1608208106.9761405,167,0.953125
1608208107.9809742,168,0.96875
1608208108.9838088,169,0.984375
1608208109.9871519,170,0.984375
1608208110.9896715,171,1.0
1608208111.9950433,172,1.0
1608208113.0003588,173,1.0
1608208114.0039296,174,1.0
1608208115.0049024,175,0.96875
1608208116.0056593,176,0.984375
1608208117.005915,177,0.984375
1608208118.012103,178,1.0
1608208119.014511,179,0.953125
1608208120.0186512,180,0.96875
1608208121.0216641,181,0.96875
1608208122.0211859,182,0.96875
1608208123.0176046,183,0.984375
1608208124.0298135,184,0.984375
1608208125.0319445,185,1.0
1608208126.0320082,186,0.984375
1608208127.0276368,187,1.0
1608208128.0289204,188,0.96875
1608208129.03414,189,0.984375
1608208130.0366244,190,0.96875
1608208131.0395763,191,1.0
1608208132.0367723,192,0.96875
1608208133.0342815,193,1.0
1608208134.0378263,194,0.984375
1608208135.0642068,195,0.953125
1608208136.0691082,196,0.96875
1608208137.0712452,197,0.953125
1608208138.074636,198,0.953125
1608208139.0758085,199,0.984375
1608208140.0753393,200,0.984375
1608208141.0766587,201,0.96875
1608208142.0917122,202,1.0
1608208143.102883,203,0.984375
1608208144.106543,204,1.0
1608208145.1046493,205,0.984375
1608208146.117062,206,0.984375
1608208147.1154554,207,0.984375
1608208148.1184142,208,0.984375
1608208149.1240911,209,0.984375
1608208150.1273546,210,1.0
1608208151.1357303,211,1.0
1608208152.139393,212,0.984375
